"filename", "language", "Vue", "JavaScript", "YAML", "XML", "SCSS", "CSS", "comment", "blank", "total"
"g:\MyVue\vue-element-admin\src\layout\index.vue", "Vue", 97, 0, 0, 0, 0, 0, 0, 10, 107
"g:\MyVue\vue-element-admin\src\layout\mixin\ResizeHandler.js", "JavaScript", 0, 40, 0, 0, 0, 0, 8, 4, 52
"g:\MyVue\vue-element-admin\src\main.js", "JavaScript", 0, 56, 0, 0, 0, 0, 19, 12, 87
"g:\MyVue\vue-element-admin\src\mixins\confirm.js", "JavaScript", 0, 41, 0, 0, 0, 0, 5, 1, 47
"g:\MyVue\vue-element-admin\src\mixins\resize.js", "JavaScript", 0, 59, 0, 0, 0, 0, 5, 2, 66
"g:\MyVue\vue-element-admin\src\mixins\search.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 1, 23
"g:\MyVue\vue-element-admin\src\mixins\tablePage.js", "JavaScript", 0, 63, 0, 0, 0, 0, 17, 2, 82
"g:\MyVue\vue-element-admin\src\permission.js", "JavaScript", 0, 77, 0, 0, 0, 0, 22, 8, 107
"g:\MyVue\vue-element-admin\src\router\index.js", "JavaScript", 0, 250, 0, 0, 0, 0, 156, 13, 419
"g:\MyVue\vue-element-admin\src\settings.js", "JavaScript", 0, 8, 0, 0, 0, 0, 24, 7, 39
"g:\MyVue\vue-element-admin\src\store\getters.js", "JavaScript", 0, 20, 0, 0, 0, 0, 4, 1, 25
"g:\MyVue\vue-element-admin\src\store\index.js", "JavaScript", 0, 16, 0, 0, 0, 0, 5, 6, 27
"g:\MyVue\vue-element-admin\src\store\modules\app.js", "JavaScript", 0, 90, 0, 0, 0, 0, 0, 5, 95
"g:\MyVue\vue-element-admin\src\store\modules\errorLog.js", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 4, 29
"g:\MyVue\vue-element-admin\src\store\modules\formula.js", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 5, 30
"g:\MyVue\vue-element-admin\src\store\modules\permission.js", "JavaScript", 0, 51, 0, 0, 0, 0, 13, 7, 71
"g:\MyVue\vue-element-admin\src\store\modules\salary.js", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 4, 29
"g:\MyVue\vue-element-admin\src\store\modules\settings.js", "JavaScript", 0, 28, 0, 0, 0, 0, 1, 7, 36
